Year,Title,Authors,CitationsJuly2018,Domain,Definition
2007,Integrated innate and adaptive artificial immune systems applied to process anomaly detection,Jamie Paul Twycross,77,ids,similarity
2007,Anomaly detection in a mobile communication network,"Alec Pawling, Nitesh V. Chawla, Gregory R. Madey",39,gis,cluster
2007,An overview of anomaly detection techniques: Existing solutions and latest technological trends,"Animesh Patcha, Jung-Min Park",1220,ids,n/a
2007,Network anomaly detection with incomplete audit data,"Animesh Patcha, Jung-Min Park",43,ids,likelihood
2007,Anomaly detection in TCP/IP networks using immune systems paradigm,"Franciszek Seredynski, Pascal Bouvry",41,ids,similarity
2007,Network anomaly detection using nonextensive entropy,"Artur Ziviani, Antônio Tadeu A. Gomes, Marcelo L. Monsores, Paulo S. S. Rodrigues",67,ids,likelihood
2007,Anomaly detection in data represented as graphs,"William Eberle, Lawrence B. Holder",102,cross,n/a
2007,A hybrid data mining anomaly detection technique in ad hoc networks,"Yu Liu, Yang Li, Hong Man, Wei Jiang",22,ids,rule
2007,Anomaly detection in web documents using crisp and fuzzy-based cosine clustering methodology,"Menahem Friedman, Mark Last, Yaniv Makover, Abraham Kandel",38,cross,cluster
2007,A hybrid machine learning approach to network anomaly detection,"Taeshik Shon, Jongsub Moon",275,ids,model
2007,Adaptive real-time anomaly detection with incremental clustering,"Kalle Burbeck, Simin Nadjm-Tehrani",59,ids,cluster
2007,Robust Fundamental Matrix Estimation with Accurate Outlier Detection,"Jing-Fu Huang, Shang-Hong Lai, Chia-Ming Cheng",23,remote,model
2007,Coevolutionary-based Mechanisms for Network Anomaly Detection,"Marek Ostaszewski, Franciszek Seredynski, Pascal Bouvry",29,ids,similarity
2007,Adaptive anomaly detection with evolving connectionist systems,"Yihua Liao, V. Rao Vemuri, Alejandro Pasos",48,ids,model
2007,Automatic outlier detection for time series: an application to sensor data,"Sabyasachi Basu, Martin Meckesheimer",135,sense,frequency
2007,"Capabilities of outlier detection schemes in large datasets, framework and methodologies","Jian Tang, Zhixiang Chen, Ada Wai-Chee Fu, David W. Cheung",73,cross,similarity
2007,Kernel Eigenspace Separation Transform for Subspace Anomaly Detection in Hyperspectral Imagery,"Hirsh R. Goldberg, Heesung Kwon, Nasser M. Nasrabadi",35,remote,model
2007,Outliers Detection in Multivariate Time Series by Independent Component Analysis,"Roberto P. Baragona, Francesco Battaglia",62,cross,model
2007,Genetic-fuzzy rule mining approach and evaluation of feature selection techniques for anomaly intrusion detection,"Chi-Ho Tsang, Sam Kwong, Hanli Wang",204,ids,rule
2007,A Novel Approach to Noise Clustering for Outlier Detection,"Frank Rehm, Frank Klawonn, Rudolf Kruse",68,cross,cluster
2007,A Time-Efficient Method for Anomaly Detection in Hyperspectral Images,"Olga Duran, Maria Petrou",60,remote,cluster
2007,Anomaly Detection Based on Wavelet Domain GARCH Random Field Modeling,"Amir Noiboar, Israel Cohen",38,cross,likelihood
2007,K-Means+ID3: A Novel Method for Supervised Anomaly Detection by Cascading K-Means Clustering and ID3 Decision Tree Learning Methods,"Shekhar R. Gaddam, Vir V. Phoha, Kiran S. Balagani",147,cross,n/a
2007,Conditional Anomaly Detection,"Xiuyao Song, Mingxi Wu, Christopher M. Jermaine, Sanjay Ranka",227,cross,likelihood
2007,Outlier Detection and Handling for Robust 3-D Active Shape Models Search,"Karim Lekadir, Robert D. Merrifield, Guang-Zhong Yang",68,others,likelihood
2007,Outlier detection by logic programming,"Fabrizio Angiulli, Gianluigi Greco, Luigi Palopoli",21,cross,n/a
2007,CFAR Outlier Detection With Forward Methods,"Janne J. Lehtomäki, Johanna Vartiainen, Markku J. Juntti, Harri Saarnisaari",39,cross,likelihood
2007,Unsupervised Outlier Detection in Sensor Networks Using Aggregation Tree,"Kejia Zhang, Shengfei Shi, Hong Gao, Jianzhong Li",86,sense,similarity
2007,Evidence-based Anomaly Detection in Clinical Domains,"Milos Hauskrecht, Michal Valko, Branislav Kveton, Shyam Visweswaran, Gregory F. Cooper",29,health,likelihood
